조회연도,대학명,대학코드,전형명,구분,모집단위,모집인원_최초,모집인원_이월,모집인원_총,경쟁률,충원인원,환산점수_50,환산점수_70,환산등급_50,환산등급_70
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,식품생명공학과,2,0,2,5.5,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,의공학과,2,0,2,4,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,물리치료학과,1,0,1,10,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,방사선학과,1,0,1,14,3,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,약학과,1,0,1,16,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,간호학과,3,0,3,9,3,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,한의예과,1,0,1,13,0,미제출 사유 : 등록없음,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,AI인문대학,4,0,4,5.25,3,미제출 사유 : 추가 안내자료 참고,,,
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,항공교통물류전공,25,0,25,1.9,22,851.5,842.88,4.96,5.19
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,건축공학전공,15,0,15,1.8,12,830.13,812.5,5.53,6
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,수학교육과,26,0,26,2,26,914.13,902.13,3.29,3.61
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,컴퓨터교육과,20,0,20,4.1,31,894.25,886.38,3.82,4.14
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,지리교육과,15,0,15,6.7,22,934.75,928,2.74,2.92
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,역사교육과,16,0,16,9.4,25,930.63,925,2.85,3
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,영어교육과,26,0,26,2.3,32,886,875.13,4.04,4.33
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,국어교육과,20,0,20,5.9,47,914.5,901.75,3.37,3.62
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,건축학전공,26,0,26,3.4,61,870.25,866.13,4.46,4.57
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,조리외식경영학전공,30,0,30,3.8,85,829.75,810.33,5.14,5.92
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,항공정비학전공,25,0,25,5.9,64,871.38,860.5,4.43,4.72
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,미디어콘텐츠전공,15,0,15,7.1,62,869.5,857.13,4.48,4.81
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,CG디자인전공,25,0,25,2,26,856.38,829,4.83,5.67
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,호텔관광경영학전공,15,0,15,3.5,38,857.88,843.55,4.79,5.1
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,의료경영학전공,15,0,15,2.5,23,842.88,840.25,5.19,5.26
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,경영학전공,30,0,30,1.9,26,850,847.38,5.05,5.07
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,간호학과,40,0,40,5.8,64,925,925,2.9,3.04
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,치위생학과,20,0,20,8.8,63,905.88,899.5,3.52,3.68
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,의학과,9,0,9,19.8,16,997,996.25,1.08,1.1
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,트리니티자유대학,125,0,125,2.9,241,836.13,815.13,5.4,5.93
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,항공운항전공,25,0,25,4.5,65,853,845.5,4.92,5.12
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,AI소프트웨어융합학부,23,0,23,1.6,13,897.25,857.13,3.74,4.81
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,임상병리학과,15,0,15,14.6,49,928.75,925.75,2.74,2.9
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,행정학전공,14,0,14,1.8,9,872.13,872.13,4.41,4.41
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,경찰행정학전공,90,0,90,3.1,180,839.5,824.88,5.26,5.63
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,사회복지학전공,20,0,20,4.2,63,839.13,814.38,5.29,5.95
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,광고홍보학전공,15,0,15,2.3,20,863.13,850,4.65,5
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,의생명과학전공,25,0,25,1.5,13,878.13,868.75,4.25,4.34
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,실용음악전공,15,0,15,1.5,7,842.5,820.38,5.2,5.79
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,작업치료학과,15,0,15,4.7,41,875.88,870.25,4.33,4.48
2027,가톨릭관동대학교[본교],72,학생부교과(운동선수출신전형),수시,스포츠재활의학전공,10,0,10,6,32,897.74,888.63,4.03,4.3
2027,가톨릭관동대학교[본교],72,학생부교과(지역기회균형전형),수시,간호학과,3,0,3,2.3,1,885.25,871.38,4.06,4.43
2027,가톨릭관동대학교[본교],72,학생부교과(지역기회균형전형),수시,의학과,2,0,2,2.5,0,961,961,2.04,2.04
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,수학교육과,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,컴퓨터교육과,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,지리교육과,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,역사교육과,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,영어교육과,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,국어교육과,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,건축공학전공,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,조리외식경영학전공,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,항공정비학전공,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,미디어콘텐츠전공,0,0,0,,2,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,CG디자인전공,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,호텔관광경영학전공,0,0,0,,1,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,의료경영학전공,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,경영학전공,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,건축학전공,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,행정학전공,0,0,0,,1,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,간호학과,5,0,5,6.2,5,878.88,875.13,4.23,4.33
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,치위생학과,0,0,0,,5,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,의학과,5,0,5,12.4,4,990.25,986.5,1.26,1.36
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,트리니티자유대학,0,0,0,,3,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,AI소프트웨어융합학부,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,항공교통물류전공,0,0,0,,2,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,경찰행정학전공,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,사회복지학전공,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,광고홍보학전공,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,의생명과학전공,0,0,0,,1,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,실용음악전공,0,0,0,,1,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,작업치료학과,0,0,0,,3,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,임상병리학과,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(지역인재전형),수시,건축공학전공,5,0,5,2.2,5,831.63,828.25,4.35,4.98
